canonical_id,display_artist,display_title,play_count,spotify_album_release_year,spotify_album_type,spotify_isrc,mb_lookup_status,mb_isrc_year,mb_ta_status,mb_title_artist_year,manual_year_override
581,Friko,Seven Degrees,1,2026,single,USATO2500445,FAILED,,FAILED,,
1718,G. Love,Peace Love & Happiness(Peak Performance),1,2008,album,USUM70813223,FAILED,,FAILED,,
2740,"Gary ""u.s."" Bonds""",This Little Girl,1,1981,album,USCA28100084,FAILED,,FAILED,,
2019,Gary Numan & Tubeway Army,Are 'Friends' Electric? (1998 Remaster),1,2008,album,GBAZP9300219,FAILED,,FAILED,,
2020,Gov't Mule,Presence Of The Lord (Live From Macon 4/13/96),1,1996,album,US5YX1200157,FAILED,,FAILED,,
608,Gov't Mule,Time,1,2002,album,USATO0200010,FAILED,,FAILED,,
2248,Grateful Dead,One More Saturday Night (2019 Remaster),1,1974,compilation,USRH11803116,FAILED,,FAILED,,
616,Grateful Dead,Scarlet Begonias,2,1974,album,USRH11301569,FAILED,,FAILED,,
632,Guster,Fa Fa,1,1999,album,USSI19900033,FAILED,,FAILED,,
2022,Jalen N'gonda,Doctrine Of Love,1,2026,single,US4GZ2608402,FAILED,,FAILED,,
